location_id,city,neighbourhood,country,lat,lon,expected_class,osm_element_count,F01_poi_density,F02_land_use_entropy,F03_retail_gf_ratio,F04_work_residential_ratio,F05_housing_in_between,F06_residential_density,F07_housing_diversity,F08_public_private_gradient,F09_street_cafe_density,F10_market_cluster,F12_gamma_index,F13_pedestrian_count,F14_shop_variety,F15_night_economy,F16_transit_access,F17_civic_presence,F18_healthcare_access,F19_education_scatter,F20_industrial_ribbon,F21_home_workshop_density,F22_intersection_density,F23_height_mix,F25_promenade_score,F26_density_gradient,F27_food_stand_density,F28_workspace_cluster,F29_gini_simpson,F30_green_space_ratio
14,Delhi,Paharganj Main Bazar,India,28.6411183,77.2155875,High,1660,853.47,0.593,0.2722,17.875,0.0315,3.98,0.3333,0.0699,10.9419,1,0.8021,93.5,1.0536,0.0714,30,1,14,4,0.2727,1.4921,385.45,0.0146,0.5769,0.8491,13.4287,7.9577,0.7769,0.0035
21,Delhi,Janakpuri District Centre,India,28.6326959,77.0809844,Medium,923,487.41,0.2256,0.0123,0.1154,0.0014,12.93,0.3333,0.0071,11.9366,1,0.9054,33.32,1.4035,0.0526,12,0,8,11,0.0488,0.4974,438.67,0.0096,0.286,0.0,0.0,0.0,0.2653,0.0337
22,Delhi,Green Park Extension,India,28.5607037,77.2036565,Medium,1872,956.92,0.2596,0.0392,0.0856,0.153,279.02,0.5,0.0203,14.4234,1,0.8199,17.9,1.2885,0.0577,18,0,15,8,0.0435,0.9947,242.71,0.0058,0.2338,0.0,3.4815,4.9736,0.31,0.0249
24,Delhi,IFFCO Chowk Gurugram,India,28.47919,77.0704879,Medium,1267,659.5,0.4785,0.0094,0.44,0.0017,12.43,0.6667,0.0015,9.4498,1,0.6218,5.97,1.339,0.0847,7,1,6,7,0.0333,0.0,80.57,0.0085,0.1243,2.0192,0.0,1.9894,0.6467,0.0113
25,Delhi,Noida Sector 18 Market,India,28.617251,77.2805705,Medium,928,491.39,0.6117,0.1053,0.1469,0.0082,192.98,0.3333,0.0142,10.9419,1,0.8743,39.79,1.1,0.0,20,1,11,5,0.0541,0.9947,268.57,0.0164,0.3084,2.3077,3.9789,4.4762,0.6969,0.0283
26,Delhi,Faridabad Sector 16 Market,India,28.5009826,77.3155004,Medium,395,225.3,0.256,0.0223,4.0,0.0,0.0,0.0,0.0088,10.4445,1,0.8506,0.5,0.9655,0.0,0,0,11,8,0.5,0.0,260.62,0.0056,0.1069,2.4,0.4974,0.9947,0.5,0.0243
27,Delhi,Pitampura TV Tower Market,India,28.6972615,77.1503292,Medium,2372,1207.09,0.5012,0.0214,11.6667,0.0028,1.49,0.1667,0.0054,10.9419,1,0.7941,26.36,1.0,0.0364,10,0,7,12,0.1111,0.0,257.13,0.0046,0.2412,0.0,1.9894,2.4868,0.6145,0.0169
28,Delhi,Dilshad Garden Market,India,28.6758864,77.321446,Medium,1222,636.62,0.236,0.0229,19.0,0.0,0.0,0.0,0.007,10.4445,1,0.8294,26.36,1.1552,0.0172,12,0,7,13,0.2,0.0,265.59,0.0038,0.2362,3.913,0.0,1.9894,0.34,0.0391
29,Delhi,Kalkaji Market,India,28.5475095,77.2511406,Medium,3213,1626.86,0.6132,0.1054,1.8293,0.026,61.18,0.5,0.0217,11.9366,1,0.8532,87.04,1.5172,0.1379,41,0,14,6,0.0667,11.4393,322.29,0.0056,0.5546,3.5106,23.3759,37.3019,0.7533,0.0171
30,Delhi,Ghaziabad Vaishali Market,India,28.6436405,77.3246349,Medium,432,242.21,0.5179,0.0332,0.4348,0.0091,11.44,0.1667,0.0041,9.4498,1,0.7487,6.96,1.5273,0.0727,6,0,7,1,0.65,0.0,103.45,0.0272,0.1293,1.8367,1.4921,0.9947,0.68,0.0226
31,Delhi,Dwarka Sector 10,India,28.5810577,77.0574996,Low,461,257.13,0.2239,0.0063,0.0211,0.0031,47.25,0.1667,0.0,10.4445,1,0.7238,3.48,1.0,0.0179,9,0,7,10,0.013,0.0,119.86,0.0189,0.1219,1.4706,0.0,0.4974,0.2395,0.0522
32,Delhi,Vasant Kunj Residential,India,28.5292495,77.1541335,Low,1362,706.75,0.2209,0.0199,2.0909,0.0025,5.47,0.1667,0.0063,10.9419,1,0.712,2.98,1.4407,0.0339,21,0,6,10,0.0625,0.4974,85.55,0.0041,0.1243,2.0192,1.9894,2.4868,0.2793,0.0169
33,Delhi,Pitampura Residential,India,28.7032676,77.1322497,Low,3297,1668.64,0.1471,0.0234,5.7273,0.003,5.47,0.3333,0.0024,10.9419,1,0.8573,30.84,1.2241,0.0172,17,0,15,13,0.0345,0.0,265.59,0.0027,0.2636,3.125,0.9947,3.4815,0.1902,0.0095
34,Delhi,Naraina Industrial Area,India,28.6305879,77.129781,Low,934,483.93,0.3832,0.007,4.0,0.0,0.0,0.0,0.0051,9.4498,1,0.7929,11.44,1.4103,0.1282,20,0,1,0,0.3529,0.0,146.22,0.0023,0.1517,0.0,0.0,0.9947,0.5882,0.0062
35,Delhi,Okhla Industrial Area Phase II,India,28.5475409,77.2828271,Low,256,146.22,0.4057,0.2391,33.0,0.0435,0.5,0.1667,0.0,9.4498,1,0.7695,4.97,1.1053,0.0263,12,1,3,0,0.6667,0.0,31.83,0.0435,0.1194,0.0,0.4974,6.4657,0.5208,0.0238
46,Mumbai,Bandra West Linking Road,India,19.065927,72.8343804,High,2610,1316.51,0.5054,0.1844,0.2789,0.0329,486.91,0.6667,0.0476,17.4076,1,0.7708,28.85,1.6216,0.2432,35,0,15,3,0.0,1.9894,200.44,0.0111,0.3183,3.5,9.9472,5.9683,0.6419,0.0045
